Stage-Step,Step Name,What It Does,Main Stage Script,Core Library Module(s),Main Function / Entry,Reads From,Saves To
S4-10,MC repricing with jump-param adjustments (ask & bid),"For each quote side (ask/bid): adjust base jump params by config multipliers (S4_ASK/BID_LAM_MULT, MU_J_ADD, SIGMA_J_MULT). Generate S4_N_PATHS paths from (S_t, h_t). Price options at the FAIR K-grid from Stage 2. Invert MC prices to raw IV; fit eSSVI to smooth. Step-1 spread = p_ask_mc - p_bid_mc (pure jump-param effect).",stage4_quote.py,simulation.py; vol_surface.py; pricing.py,run_stage4() / _build_adj_iv_surface() / _prices_from_iv(),iv_surface_df + k_surface_df (Stage 2); h_series + garch/jump params (Stage 1),"iv_ask_mc, iv_bid_mc, p_ask_mc, p_bid_mc  in memory"
S4-10b,HE bias correction -- shift mid vol using mu_HE,"Correct systematic model mispricing from Stage 3. Per (T,q): delta_sigma_bias = clip(-S4_HE_BIAS_COEF x mu_HE / vega_eff, +/-S4_HE_BIAS_CLIP). Shift mid vol AND both ask_mc/bid_mc by the same delta (preserves step-1 spread). mu_HE>0 (overpriced) -> lower mid; mu_HE<0 (underpriced) -> raise mid.",stage4_quote.py,stage4_quote.py (_apply_he_bias_correction); pricing.py (_bs_vega),run_stage4() / _apply_he_bias_correction(),iv_surface_df (Stage 2 model IV) + he_detail (Stage 3 mu_HE) + k_surface_df,"iv_mid_adj, iv_ask_mc_adj, iv_bid_mc_adj  in memory (bias-corrected surfaces)"
S4-11,HE vol-spread overlay (sigma_HE only) + OTM floor,"mu_HE is NOT used here (fully absorbed by S4-10b). Per node: vega_eff = sqrt[(phi(d1)*sqrt(T))^2 + eps(T)^2] where eps = S4_VEGA_REG_ALPHA*0.4*sqrt(T). delta_sigma_ask = max(S4_ASK_SIGMA_COEF*sigma_HE/vega_eff, 0). OTM floor: delta_sigma_floor = S4_SPREAD_FLOOR_COEF*eps/vega_eff (widens spread at high-strike wings). iv_ask_final = iv_ask_mc_adj + delta_ask + floor; iv_bid_final = iv_bid_mc_adj - delta_bid - floor (floored at P_BID_MIN).",stage4_quote.py,"stage4_quote.py (_apply_he_spread, _vega_eps); pricing.py",run_stage4() / _apply_he_spread(),"iv_ask_mc_adj, iv_bid_mc_adj, iv_mid_adj (from S4-10b) + he_detail (sigma_HE) + k_surface_df","p_ask, p_bid DataFrames in memory"
S4-12,Butterfly arb check + fix (Method B),"Per tenor, sort strikes K ascending. For each interior triplet (K1<K2<K3): check p(K1)+p(K3) >= 2*p(K2). Fix: p(K2) <- (p(K1)+p(K3))/2 - eps. Iterate up to ARB_FIX_MAX_ITERS passes. Applied independently to p_ask and p_bid.",stage4_quote.py,stage4_quote.py (_fix_butterfly_arb),run_stage4() / _fix_butterfly_arb(),"p_ask, p_bid from S4-11","{TICKER}_{STRAT}_price_surface.csv (MultiIndex tenor_days x metric; metrics: K_over_S, p_fair, p_fair_adj, p_ask_mc, p_bid_mc, p_ask_mc_adj, p_bid_mc_adj, p_ask, p_bid, spread, s1_spread, s1b_spread, s2_spread, iv_model, iv_model_adj, iv_ask_mc, iv_bid_mc, iv_ask, iv_bid)"
S5-14,Test A -- std(HE/S) vs moneyness,"For each tenor T, compute std(HE/S) at each quantile sorted by log-moneyness k. Theory: std peaks at ATM (Gamma proportional to N'(d1) maximised there), decreasing toward wings.",stage5_analysis.py,analysis.py (analyze_std_vs_quantile),run_stage5() / analyze_std_vs_quantile(),{TICKER}_{STRAT}_he_detail.csv,{TICKER}_{STRAT}_std_vs_quantile.csv
S5-15,Test A2 -- mean(HE/S) vs moneyness (seller bias),"For each tenor T, compute mean(HE/S) at each quantile. HE>0 -> seller profitable. Identifies systematic directional bias per (T,k) node.",stage5_analysis.py,analysis.py (analyze_mean_vs_quantile),run_stage5() / analyze_mean_vs_quantile(),{TICKER}_{STRAT}_he_detail.csv,{TICKER}_{STRAT}_mean_vs_quantile.csv
S5-16,Test B -- std(HE/S) vs tenor (jump accumulation),"For each quantile label, fit std^2(T) = C1 + C2*T via OLS. C2>0 confirms jump-component accumulation with tenor.",stage5_analysis.py,analysis.py (analyze_std_vs_tenor),run_stage5() / analyze_std_vs_tenor(),{TICKER}_{STRAT}_he_detail.csv,{TICKER}_{STRAT}_std_vs_tenor.csv  +  {TICKER}_{STRAT}_std_tenor_fit.csv
S5-17,Test C -- Cross-ticker HE bias heatmap,"Load he_detail for all CROSS_TICKERS. Per (T,q): cross_mean_%, cross_std_%, t-stat. |t|>1.96 -> significantly biased node (++ or --). Outputs mean heatmap, t-stat heatmap (source for Chart-3), sign map.",stage5_analysis.py,stage5_analysis.py (analyze_cross_bias),run_cross_section_analysis() / analyze_cross_bias(),{TICKER}_{STRAT}_he_detail.csv for all CROSS_TICKERS,cross_he_bias.csv + cross_he_mean_heatmap.csv + cross_he_tstat_heatmap.csv + cross_he_signmap.csv
S5-18,"Test D -- Spearman(HE std, market-cap rank) heatmap","CROSS_TICKERS ordered small->large cap. Per (T,q): Spearman rho between mktcap rank and HE_per_S_std. rho<0 -> larger cap -> lower HE std. Source for Chart-4.",stage5_analysis.py,stage5_analysis.py; scipy.stats.spearmanr,run_cross_section_analysis() / analyze_he_vs_mktcap(),he_dict loaded in S5-17,cross_spearman_mktcap.csv + cross_spearman_rho_heatmap.csv + cross_spearman_tenor_summary.csv
S5-19,Test E -- Average HE std by market-cap quintile,"Divide CROSS_TICKERS into 4 quintiles (Q1=smallest...Q4=largest). Per (T,q): mean HE_per_S_std per quintile. ATM-only staircase table + (Q1-Q4)/Q1 decline heatmap.",stage5_analysis.py,stage5_analysis.py (analyze_he_vs_mktcap),run_cross_section_analysis() / analyze_he_vs_mktcap(),he_dict loaded in S5-17,cross_quintile_std.csv + cross_quintile_wide_atm.csv + cross_quintile_q1q4_decline_heatmap.csv
Chart-3,Cross-stock HE mean t-stat heatmap,"Heatmap of per-(T,q) t-statistics (from S5-17) with significance stars. Skipped if file already exists (expensive cross-stock aggregate).",gen_ppt_charts.py,matplotlib,plot_chart3(),Results/cross_he_tstat_heatmap.csv,Results/Charts/chart3_tstat_heatmap.png
Chart-4,Spearman rho heatmap (HE std vs market-cap rank),"Heatmap of per-(T,q) Spearman rho values (from S5-18) with * for p<0.10. Skipped if file already exists.",gen_ppt_charts.py,matplotlib,plot_chart4(),Results/cross_spearman_rho_heatmap.csv,Results/Charts/chart4_spearman_heatmap.png
Chart-5,eSSVI 3D vol surface (per ticker),"3D surface plot of eSSVI implied vol across (tenor, moneyness). Always regenerated. Loops over all tickers in config.TICKERS.",gen_ppt_charts.py,matplotlib; scipy.interpolate.griddata,plot_chart5(),Results/{TICKER}_{STRAT}_iv_surface.csv,Results/Charts/{TICKER}_chart5_vol_surface.png
Chart-6,Vol smile bid-ask + price spread (per ticker),Two-panel chart for T=63d: Ask IV / Bid IV / Mid IV (bias-corrected iv_model_adj as main line) / Model IV reference (dotted). Right panel: price spread (p_ask-p_bid)/S. Always regenerated. Loops over all tickers in config.TICKERS.,gen_ppt_charts.py,matplotlib,plot_chart6(),"Results/{TICKER}_{STRAT}_price_surface.csv (iv_model_adj, iv_model, iv_ask, iv_bid, spread)",Results/Charts/{TICKER}_chart6_bid_ask_smile.png
